Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7
397.14,397.5,5.93,0.27,10086,1.000906481,0.009
397.12,397.5,4.89,0.25,7206,1.00095689,0.009
397.28,400,26.7,0.31,169926,1.006846557,0.009
397.24,400,7.84,0.25,14406,1.006947941,0.009
397.24,400,23.42,0.32,120966,1.006947941,0.009
397.21,400,8.75,0.26,17286,1.007023992,0.009
397.17,400,11.71,0.28,30246,1.007125412,0.009
397.15,400,14.95,0.28,59046,1.00717613,0.009
397.14,400,7.25,0.27,10086,1.007201491,0.009
397.12,400,6.23,0.25,7206,1.007252216,0.009
397.1,400,14.37,0.28,50406,1.007302946,0.009
397.08,400,28.98,0.31,211686,1.007353682,0.009
396.98,400,13.1,0.28,40326,1.007607436,0.009
397.14,402.5,8.45,0.26,10086,1.0134965,0.009
397.12,402.5,8.25,0.24,7206,1.013547542,0.009
397.28,405,29.35,0.31,169926,1.019432139,0.009
397.24,405,10.98,0.24,14406,1.01953479,0.009
397.21,405,12.02,0.26,17286,1.019611792,0.009
397.17,405,13.8,0.27,30246,1.01971448,0.009
397.15,405,18.06,0.28,59046,1.019765832,0.009
397.14,405,10.19,0.26,10086,1.019791509,0.009
397.12,405,9.5,0.24,7206,1.019842869,0.009
397.1,405,16.56,0.28,50406,1.019894233,0.009
397.08,405,31.15,0.31,211686,1.019945603,0.009
396.98,405,15.7,0.28,40326,1.020202529,0.009
397.14,407.5,11.88,0.26,10086,1.026086519,0.009
397.12,407.5,11.58,0.25,7206,1.026138195,0.009
397.28,410,31.46,0.31,169926,1.03201772,0.009
397.24,410,15.1,0.25,14406,1.032121639,0.009
397.24,410,28.73,0.31,120966,1.032121639,0.009
397.21,410,14.2,0.25,17286,1.032199592,0.009
397.17,410,16.94,0.27,30246,1.032303548,0.009
397.15,410,20.79,0.28,59046,1.032355533,0.009
397.14,410,14.3,0.26,10086,1.032381528,0.009
397.12,410,14.04,0.31,7206,1.032433521,0.009
397.1,410,19.65,0.28,50406,1.03248552,0.009
397.08,410,33.25,0.31,211686,1.032537524,0.009
396.98,410,18.69,0.28,40326,1.032797622,0.009
397.14,412.5,16,0.26,10086,1.038676537,0.009
397.12,412.5,15.88,0.31,7206,1.038728848,0.009
397.28,415,34.55,0.31,169926,1.044603302,0.009
397.24,415,19.66,0.29,14406,1.044708489,0.009
397.21,415,19.25,0.27,17286,1.044787392,0.009
397.17,415,20.7,0.27,30246,1.044892615,0.009
397.15,415,24.04,0.28,59046,1.044945235,0.009
397.14,415,18.63,0.27,10086,1.044971547,0.009
397.12,415,17.8,0.29,7206,1.045024174,0.009
397.1,415,22.98,0.28,50406,1.045076807,0.009
397.08,415,36.69,0.31,211686,1.045129445,0.009
396.98,415,22.12,0.27,40326,1.045392715,0.009
397.14,417.5,20.84,0.33,10086,1.051266556,0.009
397.12,417.5,20.32,0.34,7206,1.0513195,0.009
397.28,420,37.8,0.31,169926,1.057188884,0.009
397.24,420,22.63,0.25,14406,1.057295338,0.009
397.24,420,34.65,0.31,120966,1.057295338,0.009
397.21,420,21.6,0.27,17286,1.057375192,0.009
397.17,420,24.46,0.27,30246,1.057481683,0.009
397.15,420,27.6,0.28,59046,1.057534936,0.009
397.14,420,23.15,0.32,10086,1.057561565,0.009
397.12,420,21.58,0.38,7206,1.057614827,0.009
397.1,420,27.08,0.28,50406,1.057668094,0.009
397.08,420,40,0.31,211686,1.057721366,0.009
396.98,420,25.96,0.27,40326,1.057987808,0.009
397.14,422.5,24.15,0.34,10086,1.063856575,0.009
397.12,422.5,25.25,0.36,7206,1.063910153,0.009
397.28,425,40.55,0.31,169926,1.069774466,0.009
397.24,425,26.14,0.31,14406,1.069882187,0.009
397.21,425,28.83,0.33,17286,1.069962992,0.009
397.17,425,28.99,0.28,30246,1.070070751,0.009
397.15,425,31.45,0.28,59046,1.070124638,0.009
397.14,425,28.3,0.37,10086,1.070151584,0.009
397.12,425,27.1,0.42,7206,1.070205479,0.009
397.1,425,30.45,0.29,50406,1.070259381,0.009
397.08,425,42.83,0.31,211686,1.070313287,0.009
396.98,425,29.81,0.28,40326,1.070582901,0.009
397.14,427.5,28.55,0.37,10086,1.076446593,0.009
397.12,427.5,30.5,0.41,7206,1.076500806,0.009
397.28,430,43.92,0.31,169926,1.082360048,0.009
397.24,430,30.46,0.34,14406,1.082469036,0.009
397.24,430,41.54,0.31,120966,1.082469036,0.009
397.21,430,32.9,0.30,17286,1.082550792,0.009
397.17,430,33,0.31,30246,1.082659818,0.009
397.15,430,35.03,0.28,59046,1.08271434,0.009
397.12,430,31.43,0.45,7206,1.082796132,0.009
397.1,430,34.64,0.30,50406,1.082850667,0.009
397.08,430,45.87,0.31,211686,1.082905208,0.009
396.98,430,34.3,0.28,40326,1.083177994,0.009
397.14,432.5,34.33,0.44,10086,1.089036612,0.009
397.12,432.5,33.83,0.47,7206,1.089091459,0.009
397.28,435,45.7,0.32,169926,1.09494563,0.009
397.17,435,37.62,0.33,30246,1.095248886,0.009
397.15,435,40,0.29,59046,1.095304041,0.009
397.14,435,37.42,0.44,10086,1.095331621,0.009
397.12,435,38.1,0.50,7206,1.095386785,0.009
397.1,435,37.5,0.30,50406,1.095441954,0.009
397.08,435,49.84,0.31,211686,1.095497129,0.009
396.98,435,38.65,0.30,40326,1.095773087,0.009
397.14,437.5,40.73,0.48,10086,1.10162663,0.009
397.12,437.5,40.12,0.52,7206,1.101682111,0.009
397.28,440,51.22,0.31,169926,1.107531212,0.009
397.24,440,42.59,0.41,14406,1.107642735,0.009
397.24,440,48.92,0.31,120966,1.107642735,0.009
397.21,440,41,0.39,17286,1.107726392,0.009
397.17,440,42.79,0.36,30246,1.107837954,0.009
397.15,440,43.54,0.29,59046,1.107893743,0.009
397.14,440,43.39,0.34,10086,1.10792164,0.009
397.12,440,38.57,0.55,7206,1.107977438,0.009
397.1,440,43.99,0.32,50406,1.108033241,0.009
397.08,440,51.74,0.31,211686,1.10808905,0.009
396.98,440,43.6,0.30,40326,1.10836818,0.009
397.14,442.5,43.7,0.48,10086,1.114216649,0.009
397.28,445,55.16,0.31,169926,1.120116794,0.009
397.21,445,48,0.44,17286,1.120314191,0.009
397.17,445,47.8,0.36,30246,1.120427021,0.009
397.15,445,48.61,0.31,59046,1.120483445,0.009
397.12,445,43.33,0.59,7206,1.12056809,0.009
397.1,445,48.44,0.33,50406,1.120624528,0.009
397.08,445,55,0.31,211686,1.120680971,0.009
396.98,445,48.45,0.36,40326,1.120963273,0.009
397.28,450,58.57,0.31,169926,1.132702376,0.009
397.24,450,51.4,0.46,14406,1.132816433,0.009
397.24,450,56.35,0.31,120966,1.132816433,0.009
397.17,450,51.83,0.38,30246,1.133016089,0.009
397.15,450,53.3,0.32,59046,1.133073146,0.009
397.12,450,54.65,0.61,7206,1.133158743,0.009
397.1,450,53.1,0.35,50406,1.133215815,0.009
397.08,450,60.65,0.31,211686,1.133272892,0.009
396.98,450,53.52,0.35,40326,1.133558366,0.009
397.12,452.5,53.2,0.64,7206,1.139454069,0.009
397.28,455,63.14,0.32,169926,1.145287958,0.009
397.24,455,56.15,0.51,14406,1.145403283,0.009
397.17,455,56.5,0.43,30246,1.145605156,0.009
397.15,455,57.9,0.33,59046,1.145662848,0.009
397.1,455,58.35,0.36,50406,1.145807101,0.009
397.08,455,60.8,0.32,211686,1.145864813,0.009
396.98,455,58.15,0.34,40326,1.146153459,0.009
397.28,460,67.28,0.32,169926,1.15787354,0.009
397.24,460,64.39,0.33,120966,1.157990132,0.009
397.17,460,63.7,0.42,30246,1.158194224,0.009
397.15,460,61.85,0.34,59046,1.158252549,0.009
397.1,460,63.8,0.36,50406,1.158398388,0.009
397.08,460,68,0.32,211686,1.158456734,0.009
396.98,460,63.2,0.37,40326,1.158748552,0.009
397.28,465,71.15,0.33,169926,1.170459122,0.009
397.24,465,64.1,0.57,14406,1.170576981,0.009
397.17,465,66.1,0.46,30246,1.170783292,0.009
397.15,465,67.41,0.34,59046,1.170842251,0.009
397.1,465,67.45,0.37,50406,1.170989675,0.009
397.08,465,72.1,0.32,211686,1.171048655,0.009
